name,description,price,rating,category,marketplace
Lenovo IdeaPad 3 Core i3 11th Gen - (8 GB/256 GB SSD/Windows 11 Home) 14ITL05 Thin and Light Laptop,['Intel Core i3 Processor (11th Gen)' '8 GB DDR4 RAM' '64 bit Windows 11 Operating System' '256 GB SSD' '35.56 cm (14 inch) Display' 'Office Home and Student 2021' '2 Year Onsiteï¿½Warranty'],36990,4.2,laptops,flipkart
Lenovo IdeaPad 3 Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) 82H801L7IN | 82H802FJIN | 82H802...,['Intel Core i3 Processor (11th Gen)' '8 GB DDR4 RAM' '64 bit Windows 11 Operating System' '512 GB SSD' '39.62 cm (15.6 inch) Display' 'Office Home and Student 2021' '2 Year Onsiteï¿½Warranty'],37990,4.2,laptops,flipkart
ASUS VivoBook 15 (2022) Core i3 10th Gen - (8 GB/512 GB SSD/Windows 11 Home) X515JA-EJ362WS | X515JA-E...,['Intel Core i3 Processor (10th Gen)' '8 GB DDR4 RAM' '64 bit Windows 11 Operating System' '512 GB SSD' '39.62 cm (15.6 inch) Display' 'Office Home and Student 2021' '1 Year Onsite Warranty'],32990,4.3,laptops,flipkart
realme Book (Slim) Core i3 11th Gen - (8 GB/256 GB SSD/Windows 10 Home) RMNB1001 Thin and Light Laptop,['Stylish & Portable Thin and Light Laptop' '14 inch 2K QHD IPS LCD Display ( 400nits peak brightness 100% sRGB 3:2 aspect ratio Full Vision Display)' 'Finger Print Sensor for Faster System Access' 'Light Laptop without Optical Disk Drive' 'Intel Core i3 Processor (11th Gen)' '8 GB DDR4 RAM' '64 bit Windows 10 Operating System' '256 GB SSD' '35.56 cm (14 inch) Display' 'NA' '1 Year Domestic Warranty'],46990,4.4,laptops,flipkart
DELL Inspiron Core i3 11th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 11 Home) D560841WIN9S Thin and Ligh...,"['Processor: Intel i3-1115G4 (Base- 1.70 GHz & Turbo up to 4.10 GHz) 2 Cores' 'RAM & Storage: 8GB DDR4 & 1TB + 256GB SSD' 'Graphics & Keyboard: Integrated & Standard Keyboard' 'Display: 15.6"" FHD WVA AG Narrow Border' 'Ports: 2x USB 3.2 Gen1 1x USB 2.0 HDMI 1.4 SD Card reader Audio jack 1 M.2 2230/2280 slot for solid-state drive/Intel Optane' 'Intel Core i3 Processor (11th Gen)' '8 GB DDR4 RAM' 'Windows 11 Operating System' '1 TB HDD|256 GB SSD' '39.62 cm (15.6 inch) Display' '1 YEAR']",38990,4.3,laptops,flipkart
HP 14s Intel Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) 14s - dy2508TU Thin and Light Laptop,['Intel Core i3 Processor (11th Gen)' '8 GB DDR4 RAM' '64 bit Windows 11 Operating System' '512 GB SSD' '35.56 cm (14 inch) Display' 'Microsoft Office Home & Student 2021' '1 Year Onsite Warranty'],40990,4.2,laptops,flipkart
Lenovo IdeaPad 3 Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 11 Home) 15ALC6 Thin and Light Lap...,['AMD Ryzen 5 Hexa Core Processor' '8 GB DDR4 RAM' '64 bit Windows 11 Operating System' '512 GB SSD' '39.62 cm (15.6 inch) Display' 'Office Home and Student 2021' '2 Years Onsiteï¿½Warranty'],44990,4.3,laptops,flipkart
Lenovo IdeaPad 1 Ryzen 5 Quad Core 3500U - (8 GB/512 GB SSD/Windows 11 Home) 15ADA7 Thin and Light Lap...,['AMD Ryzen 5 Quad Core Processor' '8 GB DDR4 RAM' '64 bit Windows 11 Operating System' '512 GB SSD' '39.62 cm (15.6 Inch) Display' '2 Years Onsiteï¿½Warranty'],38705,4.2,laptops,flipkart
APPLE 2020 Macbook Air M1 - (8 GB/256 GB SSD/Mac OS Big Sur) MGN63HN/A,['Apple M1 Processor' '8 GB DDR4 RAM' 'Mac OS Operating System' '256 GB SSD' '33.78 cm (13.3 inch) Display' 'Built-in Apps: iMovie Siri GarageBand Pages Numbers Photos Keynote Safari Mail FaceTime Messages Maps Stocks Home Voice Memos Notes Calendar Contacts Reminders Photo Booth Preview Books App Store Time Machine TV Music Podcasts Find My QuickTime Player' '1 Year Limited Warra\xadnty'],88990,4.7,laptops,flipkart
Lenovo IdeaPad 1 Ryzen 3 Dual Core 3250U - (8 GB/512 GB SSD/Windows 11 Home) 15ADA7 Thin and Light Lap...,['AMD Ryzen 3 Dual Core Processor' '8 GB DDR4 RAM' '64 bit Windows 11 Operating System' '512 GB SSD' '39.62 cm (15.6 Inch) Display' '2 Years Onsiteï¿½Warranty'],35590,4.2,laptops,flipkart
Lenovo IdeaPad Gaming 3 Ryzen 5 Hexa Core AMD R5-5600H - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphic...,['AMD Ryzen 5 Hexa Core Processor' '8 GB DDR4 RAM' '64 bit Windows 11 Operating System' '512 GB SSD' '39.62 cm (15.6 inch) Display' 'NA' '1 Year Onsiteï¿½Warrantyï¿½+ 1 Year Premium Care + 1 Year Accidental Damage Protection'],64490,4.3,laptops,flipkart
Infinix INBook X1 Neo Series Celeron Quad Core - (8 GB/256 GB SSD/Windows 11 Home) XL22 Thin and Light...,['Intel Celeron Quad Core Processor' '8 GB LPDDR4X RAM' '64 bit Windows 11 Operating System' '256 GB SSD' '35.56 cm (14 inch) Display' '1 Year Onsite Warranty'],22990,4.2,laptops,flipkart
acer Aspire 7 Ryzen 5 Hexa Core AMD R5-5500U - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA G...,['Free upgrade to Windows 11 when available' 'AMD Ryzen 5 Hexa Core Processor' '8 GB DDR4 RAM' '64 bit Windows 11 Operating System' '512 GB SSD' '39.62 cm (15.6 inch) Display' 'Acer Collection  Acer Product Registration Acer Care Center Quick Access' '1 Year International Travelers Warranty (ITW)'],47990,4.4,laptops,flipkart
ASUS VivoBook K15 OLED (2022) Core i3 11th Gen - (8 GB/256 GB SSD/Windows 11 Home) K513EA-L302WS Thin ...,['Intel Core i3 Processor (11th Gen)' '8 GB DDR4 RAM' '64 bit Windows 11 Operating System' '256 GB SSD' '39.62 cm (15.6 inch) Display' 'Office Home and Student 2021' '1 Year Onsite Warranty'],40990,4.4,laptops,flipkart
ASUS VivoBook 14 (2022) Ryzen 7 Quad Core AMD R7-3700U - (16 GB/512 GB SSD/Windows 11 Home) M415DA-EB5...,['AMD Ryzen 7 Quad Core Processor' '16 GB DDR4 RAM' '64 bit Windows 11 Operating System' '512 GB SSD' '35.56 cm (14 inch) Display' 'Office Home and Student 2021' '1 Year Onsite Warranty'],44990,4.1,laptops,flipkart
Lenovo Thinkpad Ryzen 5 Hexa Core 5600U - (8 GB/512 GB SSD/DOS) E14 AMD Gen3 Thin and Light Laptop,['AMD Ryzen 5 Hexa Core Processor' '8 GB DDR4 RAM' '64 bit DOS Operating System' '512 GB SSD' '35.56 cm (14 inch) Display' '1 Year Onsite Warranty'],69990,4.5,laptops,flipkart
Lenovo Core i3 11th Gen - (4 GB/256 GB SSD/Windows 10 Home) V15 ITL G2 Thin and Light Laptop,['Intel Core i3 Processor (11th Gen)' '4 GB DDR4 RAM' '64 bit Windows 10 Operating System' '256 GB SSD' '38.1 cm (15 inch) Display' 'Microsoft Office Home & Student 2019' '1 Year Onsite Warranty'],38990,4.3,laptops,flipkart
HP Pavilion Ryzen 5 Hexa Core AMD R5-5600H - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeF...,['AMD Ryzen 5 Hexa Core Processor' '8 GB DDR4 RAM' '64 bit Windows 11 Operating System' '512 GB SSD' '39.62 cm (15.6 inch) Display' 'Microsoft Office Home & Student 2019' '1 Year Onsite Warranty'],59990,4.5,laptops,flipkart
HP 15s Intel Core i5 12th Gen - (8 GB/512 GB SSD/Windows 11 Home) 15s-fq5111TU Thin and Light Laptop,['Intel Core i5 Processor (12th Gen)' '8 GB DDR4 RAM' '64 bit Windows 11 Operating System' '512 GB SSD' '39.62 cm (15.6 inch) Display' '1 Year Onsite Warranty'],58990,4.2,laptops,flipkart
Lenovo ThinkBook 13s Core i5 11th Gen - (8 GB/512 GB SSD/Windows 10 Home) TB13s ITL Gen 2 Thin and Lig...,['Intel Core i5 Processor (11th Gen)' '8 GB DDR4 RAM' '64 bit Windows 10 Operating System' '512 GB SSD' '33.02 cm (13 inch) Display' 'Microsoft Office Home & Student 2019' '1 Year Onsite Warranty'],73990,4.0,laptops,flipkart
Lenovo IdeaPad Gaming Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce...,['Intel Core i5 Processor (11th Gen)' '8 GB DDR4 RAM' '64 bit Windows 11 Operating System' '512 GB SSD' '39.62 cm (15.6 Inch) Display' '1 Year Onsite Warranty + 1 Year Premium Care + 1 Year Accidentaly Damage Protection'],51990,4.3,laptops,flipkart
acer Aspire 7 Core i5 12th Gen - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce GTX 16...,['Intel Core i5 Processor (12th Gen)' '16 GB DDR4 RAM' '64 bit Windows 11 Operating System' '512 GB SSD' '39.62 cm (15.6 inch) Display' 'Acer Care Center Acer Product Registration Nitro Sense Quick Access' '1 Year International Travelers Warranty (ITW)'],58990,4.3,laptops,flipkart
ASUS TUF Gaming A15 with 90Whr Battery Ryzen 7 Octa Core 5800H - (16 GB/512 GB SSD/Windows 11 Home/6 G...,['AMD Ryzen 7 Octa Core Processor' '16 GB DDR4 RAM' '64 bit Windows 11 Operating System' '512 GB SSD' '39.62 cm (15.6 Inch) Display' '1 Year Onsite Warranty'],89990,4.6,laptops,flipkart
HP Ryzen 3 Dual Core 3250U - (8 GB/256 GB SSD/Windows 11 Home) 15s-ey1508AU Thin and Light Laptop,['AMD Ryzen 3 Dual Core Processor' '8 GB DDR4 RAM' '64 bit Windows 11 Operating System' '256 GB SSD' '39.62 cm (15.6 mm) Display' 'Microsoft Office 2021 Home and Student HP Documentation HP BIOS recovery HP Smart' '1 Year Onsite Warranty'],27123,4.1,laptops,flipkart
ASUS VivoBook 15 (2022) Core i5 11th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 11 Home) X515EA-EJ502WS T...,['Intel Core i5 Processor (11th Gen)' '8 GB DDR4 RAM' '64 bit Windows 11 Operating System' '1 TB HDD|256 GB SSD' '39.62 cm (15.6 inch) Display' 'Office Home and Student 2021' '1 Year Onsite Warranty'],47990,4.3,laptops,flipkart
realme Book(Slim) Intel Evo Core i5 11th Gen - (8 GB/512 GB SSD/Windows 10 Home) RMNB1002 Thin and Lig...,['Powered by 11th Gen Intel Evo Core i5 Processor' 'Microsoft Office 2019 Home & Student Included' 'Stylish Thin and Light Laptop without Optical Disk Drive' 'Intel Core i5 Processor (11th Gen)' '8 GB DDR4 RAM' '64 bit Windows 10 Operating System' '512 GB SSD' '35.56 cm (14 inch) Display' 'Microsoft Office 2019 Home & Student' '1 Year Domestic Warranty'],59990,4.4,laptops,flipkart
MSI GF63 Thin Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce GTX 165...,['Intel Core i5 Processor (11th Gen)' '8 GB DDR4 RAM' '64 bit Windows 11 Operating System' '512 GB SSD' '39.62 cm (15.6 inch) Display' 'Windows 11 Home MSI Center CoolerBoost' '2 Year On-Site & Carry-In Warranty'],51990,4.4,laptops,flipkart
ASUS Vivobook 15 Core i3 10th Gen - (8 GB/512 GB SSD/Windows 11 Home) X515JA-EJ382WS X515JA Laptop,['Intel Core i3 Processor (10th Gen)' '8 GB DDR4 RAM' '64 bit Windows 11 Operating System' '512 GB SSD' '39.62 cm (15.6 inch) Display' 'Windows 11 Microsoft Office H&S 2021 1 Year McAfee' '1 Year Onsite Warranty'],33849,4.2,laptops,flipkart
Infinix INBook X2 Plus Core i7 11th Gen - (16 GB/512 GB SSD/Windows 11 Home) XL25 Thin and Light Lapto...,['Intel Core i7 Processor (11th Gen)' '16 GB LPDDR4X RAM' '64 bit Windows 11 Operating System' '512 GB SSD' '39.62 cm (15.6 Inch) Display' '1 Year Onsite Warranty'],52990,4.8,laptops,flipkart
HP Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 11 Home) 15s- eq2144au Thin and Light Laptop,['AMD Ryzen 5 Hexa Core Processor' '8 GB DDR4 RAM' '64 bit Windows 11 Operating System' '512 GB SSD' '39.62 cm (15.6 inch) Display' 'Microsoft Office Home 2019 & Office 365 HP Documentation HP SSRM HP Smart' '1 Year Onsite Warranty'],50990,4.3,laptops,flipkart
DELL Inspiron Athlon Dual Core 3050U - (8 GB/256 GB SSD/Windows 11 Home) Inspiron 3525 Notebook,"['Processor: AMD Athlon Silver 3050U (2.30 GHz up to 3.20 GHz)' 'RAM & Storage: 8GB DDR4 & 256GB SSD' 'Display: 15.6"" HD AG Narrow Border' 'Software: Win 11 + Office H&S 2021' 'Ports: 2 USB 3.2 Gen 1 ports 1 USB 2.0 port 1 Headset jack 1 HDMI 1.4 port* 1 SD 3.0 card slot' 'WiFi & BT: 802.11ac 1x1 WiFi and Bluetooth' 'AMD Athlon Dual Core Processor' '8 GB DDR4 RAM' '64 bit Windows 11 Operating System' '256 GB SSD' '39.62 cm (15.6 Inch) Display' '1 Year Onsite Warranty']",31990,4.2,laptops,flipkart
ASUS TUF Gaming A17 with 90Whr Battery Ryzen 5 Hexa Core AMD R5-4600H - (8 GB/512 GB SSD/Windows 11 Ho...,['AMD Ryzen 5 Hexa Core Processor' '8 GB DDR4 RAM' '64 bit Windows 11 Operating System' '512 GB SSD' '43.94 cm (17.3 Inch) Display' '1 Year Onsite Warranty'],52990,4.4,laptops,flipkart
RedmiBook Pro Core i3 11th Gen - (8 GB/256 GB SSD/Windows 11 Home) Thin and Light Laptop,['Intel Core i3 Processor (11th Gen)' '8 GB DDR4 RAM' 'Windows 11 Operating System' '256 GB SSD' '39.62 cm (15.6 inch) Display' 'MS Office Home & Student 2019 Mi Smart Share DTS Audio processing' '1 Year Onsite Warranty'],31990,4.2,laptops,flipkart
ASUS Vivobook 15 Core i3 10th Gen - (8 GB/256 GB SSD/Windows 11 Home) X515JA-EJ312WS Thin and Light La...,['Intel Core i3 Processor (10th Gen)' '8 GB DDR4 RAM' '64 bit Windows 11 Operating System' '256 GB SSD' '39.62 cm (15.6 Inch) Display' '1 Year Onsite Warranty'],32990,4.3,laptops,flipkart
